	c_text	target
0	Meine Liebe Sie bilden sich anscheinend auch viel ein 	0
1	Die Karte muss in Gesicht von Frau Merkel und Herr spahn hoch gezogen werden 	0
2	Wenn Sie kackbraune Scheiße blau übermalen wie der kleine Anstreicher Chruppala bleibt es kackbraune Setzen Sechs Chrupalla entlarvt die ALTPARTEI AfD AfDrausausdenParlamenten 	1
3		2
4	Junge was für Verfolgung die befeuern aus ihren Eigentumswohnungen Querdenker und ich sage auf Twitter dass ich das doof finde Du weißt nichts von Verfolgung 	0
5	Tja leider waren deine Eltern nicht Ärztin und Ingenieur Überleg mal woran das wohl liegt Sie haben sich für dich krumm gemacht Und jetzt kommst du Schlaumeier und erzählst was vom MAI Das ist demütigend für deine Eltern 	0
6	Ja und ja Ihre Erklärung dazu die mich nicht ganz überzeugt 	0
7	Querdenker belagern Impfzentren verbreiten Lügen um Menschen vom Impfen abzuhalten beleidigen und provozieren wenn man Maske trägt Komm mir nicht mit anderen Leuten ihre Rechte absprechen wollen 	1
8	Monat im Jahr der Erderhitzung 	2
9	Punkt 	2
10	Hetzer Gegen wen denn 	2
11	Dieser Hemlut ist einfach nur ein verstrahlter egozentrischer Idiot der es einfach genießt mehr Rechte als andere zu haben Sein Gesabbel bringt uns nichts solche Spinner erträgt man einfach 	0
12	Pfizer eine Firma die anscheinend die gleiche Ethik wie Nazi Todesengel Mengele vertritt hat vor einigen Jahren als in Nigeria eine Mningitis Welle ausbrach unter dem Vorwand humanitärer Hilfe verdeckt Testmedikamente an Kids ausprobiert Kinder Tot behindert 	1
13	Also ich kenn ja solche Leute größtenteils noch aus meiner Emo Phase und die meisten sind halt einfach drogensüchtige assis geworden ohne groß politisch dabei zu sein die aber antifa sticker immer ganz cool fanden die prolligen 	2
14	les halt nochmal nach was ursprünglich beabsichtigt war Genausogut könnte ich fragen was aktuell überhaupt Zuschauer im Stadion verloren haben Da nimmt man auch vieles billigend in Kauf 	0
15	BaerbockvsHabeck Wie kann eine Partei so dumm sein die UNERTRÄGLICH schrille nervende Stimme von der wohltemperierten sympathischen von Habeck vorzuziehen Die Baerbock wird beim Wahlvolk so gut ankommen wie Kommentatorin Claudia Neumann bei den Männerfußballfans 	0
16	für ne sekunde aus versehen mit jemand gesprochen der tweets feiert und sich über blm lustig macht naja 	0
17	OT oder von mir aus auch RFH Ich wünsche mir ein Statement von Ihnen zu den aktuellen Ereignissen in Israel Vielen Dank 	0
18	Manchmal ist mir sek Googeln und mal eben Screenshots machen angenehmer als Tippen Mag spleenig sein vOv Und inhaltlich Ich bin den Scheiß einfach so leid Fundierte Recherche liefern zu sollen während die Gegenseite jeden Rotz als Argument nutzt Ich mag nichmehr 	2
19	Ich bin jetzt schon gespannt wo sie das ganze Geld hernehmen will was sie da so für Klima und Gutmenschentum verteilt nicht falsch verstehen wenn das geht bin ich der erste der sich über das Grüne Schlaraffenland für alle freut Ist das realistisch 	0
20		2
21	Auch das kann die Union zum Beispiel nicht Politik auch mal mit Humor verbinden Eigentlich kann die Union gar nichts außer abkassieren oder 	1
22	Immer wieder schön ahnungslose Menschen schwadronieren zu hören 	0
23	Weg des Widerstands Uhr Infostände von AG Antifa Barmbeker Ini gegen Rechts Bergedorfer für Völkerverständigung linksjugend solid Hamburg Volksinitiative für Hamburg und verdi AK Frieden 	1
24	Grüne Schizophrenie Sie wollen keine Waffen nach Israel liefern Begründung Keine Waffenlieferung in Krisengebiete Gestern Wir müssen Waffen in die Ukraine liefern Weil das nun ja 	1
25	AfD geht mit Duo Weidel und Chrupalla in den Bundestagswahlkampf 	0
26	KANN EINER BITTE BITTE DIESEN MANN ENDLICH STOPPEN IRGENDJEMAND MUSS ES MACHEN 	0
27	Das Greenpeace sich nicht schämt Da hatten bestimmt einige Zuschauer und Spieler Angst Hattet Ihr wohl schon vergessen Fussballspiel in Paris auch Deutschland Frankreich Kalashnikov Handgranaten Sprengstoff tatp Westen zeitgleich mit dem Anschlag Bataclan 	1
28	Die eigenen Parteifreund innen sollen überzeugt werden Vier Erfolg damit ehrlich gemeint Die Überzeugung gelingt aber leider am besten über Angstargumente die Wahl zu verlieren Für Sachargumente ist die CDU leider taub Siehe Merz bei Lanz Und Merz ist team Laschet 	1
29	Selbst die andere Gästen mussten Laschet zustimmen denn es geht letztendlich auch darum dass wir alle noch Lohn und Brot haben Dafür hatte Frau Neubauer nur ein Kopfschütteln übrig 	0
30	Echt jetzt Paul Statt DE DE über alles wichtigeres Der Wert eines Menschen sollte an erster Stelle stehen nicht das was die daraus gemacht hat Lobbyieren Lügen Betrügen das eigene Portemonnaie füllen steht für euch an erster Stelle NieMehrCDUCSU 	1
31	Stell dir vor Nazi ist über Jahrzehnte ein Schimpfwort wie zum Beispiel Hurensohn und plötzlich gibt es einige die sogar stolz drauf sind so genannt zu werden Dann werden es immer mehr und du willst auch ein Hurensohn Sorry ich meinte Nazi sein 	0
32	Grosse Welle Wie geht es ihrem Auge 	0
33	Also auch ich als Heterosexueller Mann fühle mich nicht diskriminiert Keine Ahnung wie Sie auf so was kommen Ganz im Gegenteil ich finde es toll das Manuel Neuer für Diversität und gleichgeschlechtliche Liebe einsteht 	0
34	Giftspritze disqualifiziert Sie schon ohne dass man weiterlesen muß Schwurbler Leerdenker 	0
35	Hm ich glaube echt alles was du anderen vorwirftst ist geeignet um vor deiner eigenen Tür zu kehren soviel Aggression ohne Grundlage und ohne Sinn ne Menge Energie die du ins falsche Rohr schießt Du kannst weiter rumjammern das es Querdenker gibt mich stören die nicht 	0
36	Und dabei ist eine nährstoffreiche vegane Ernährung echt kein Hexenwerk und sowohl lecker als auch gesund weiß echt nicht wie man das im Jahr immer noch nicht gecheckt und seine Ernährung umgestellt haben kann 	2
37	Maaßen ist vor allem eines inkompetent 	0
38	Unertls CSU Vogelscheuche und die Grüne Annalena Baerbock 	0
39	Impfneid als ob wieder so ein völlig schwachsinniger 	2
40	Übrigens wenn Sie Teil einer Studie werden müssen Sie dafür einwilligen 	2
