c_id	c_text	date	author_id	like_count	quote_count	retweet_count	reply_count
1384216954488049700	@MichaelBroecker @HeuteBluhm @ArminLaschet @CDU Sonst käme man ja auf die Idee dass Laschet schon immer unbeliebt war aber +6 rauslief und Söder schon immer an der Basis beliebt aber -10 rauslief	2021-04-19T18:46:54Z	1109804821194911700	1	0	0	0
1397925083717410800	@reitschuster Jetzt beginnt die Wahlwerbung für die AfD. Wie vorausgesagt.😳	2021-05-27T14:38:06Z	1373293126916395e3	3	0	0	0
1391853254615699500	@welt Na wenn DA mal nicht ein paar Querdenker mitten in der Masse standen.	2021-05-10T20:30:49Z	1217412354587185200	0	0	0	0
1383950264403587e3	@Eiterdaus Danke hatte ich schon. Is wie ne Grippe, also nicht ängstlich. Is nur für alte und kranke wirklich gefährlich. Ja das zeigt was du für ein intoleranter, verborter Mensch bist der den Mainstream Müll aus den Medien nachplappert!!! Hauptsache man kann nazi schreiben	2021-04-19T01:07:10Z	767372338522382300	0	0	0	1
1400755246411006e3	@janboehm Es gibt weitaus wichtigere Punkte um für Gleichberechtigung zu sorgen. Ich habe Mi h noch nie benachteiligt gefühlt nur weil ein Maskuliner Artikel vor einem Wort stand 😅	2021-06-04T10:04:10Z	1252295168377737200	1109	1	9	19
1388448085689487400	"@amo_il_caffe @Dr_Emergencydoc Vor Monaten schrieb ich mal, wenn die Leute alle zuhause verrecken würden statt anonym auf der ITS,  wären wir schon durch mit lockdown..  das ist das Paradoxon heutzutage 🙄 
Die Deppen sehen nix mehr.."	2021-05-01T10:59:54Z	741139155103670300	0	0	0	0
1384275127517401e3	"@noaheIeazar @arouet71 @tagesthemen @tagesschau @jahn_frank Die ""Meinung"" im @ZDF oder bei @ARDde  ist niemals ausgewogen, sondern immer nur linksgrün gefärbt. Würde ein Moderator die Afd ähnlich über den grünen Klee loben, wie es täglich bei den Grünen geschieht, hätte er am nächsten Tag sein Kündigungsschreiben in der Hand."	2021-04-19T22:38:03Z	1238851090549964800	1	0	0	2
1387171224267198500	"https://t.co/AykzTbk6Gc #E0105
9.30 Uhr, Frohnhauser Markt/ Platz, 45145 Essen mit offenem Mikrofon, (Eine Demonstration wurde bisher untersagt, (Aktuelles: #E0105)) 
Danach: Protest gegen die Faschisten"	2021-04-27T22:26:06Z	47706495	0	1	0	0
1400062051062538200	@herr_sin @Karl_Lauterbach @Alice_Weidel Personen angreifen halte ich für das Mittel der anderen. Und die Aussage diffamiert Menschen mit Persönlichkeitsstörung. So gesehen war meine Bemerkung auch nicht okay.	2021-06-02T12:09:39Z	838030977553289200	1	0	0	0
1389253064431898600	"Cn Naziterror

Du läufst mit paar linken Patches am Rucksack durch die Gegend?

Nazis jagen dich durch die Straßen, wenn sie dich erwischen, droht Lebensgefahr"	2021-05-03T16:18:36Z	970604988878807e3	1	0	0	1
1390755644010078200	@BischofWalter @YouTube Nicht meine Musik aber der Text Widerspricht sich. Besorgte Bürger, Querdenker &amp; wie du sie sonst noch nennst wollen ihr Leben zurück WEIL sie wissen was Spaß ist ;)	2021-05-07T19:49:19Z	230946329	0	0	0	0
138529468782157e4	"@reitschuster So eine Rede hat noch nicht einmal die AFD hinbekommen geschweige denn der Great Reset Lindner!
Die Union als FC eigene Tasche!
Die Volksterror Merkel hat es geschafft einen Haufen von Versagern in der Regierung um sich zu scharen
Und weil diese es wissen lecken sie der am Arsch"	2021-04-22T18:09:25Z	1256895034676387800	0	0	0	0
1395823150601064400	@m_schlobohm @Anna48338034 @Steinhoefel Nein...denen muss einfach die Möglichkeit genommen werden sich über irgendwas zu streiten.	2021-05-21T19:25:46Z	1308821605137748e3	0	0	0	0
1384177140288e6	@HE41214864 @Trille091 @BILD Die bekommt man schon nicht in den Griff, dann holt man sich das Unheil noch dazu. Und das noch in allen Bereichen. Sexual Delikte, Antisemitismus, Terror, Raub und Ehrenmord, Clan Strukturen und die ganze Batterie	2021-04-19T16:08:41Z	2981161913	1	0	0	1
