	c_text	target
0	meine liebe sie bilden sich anscheinend auch viel ein	0
1	die karte muss in gesicht von frau merkel und herr spahn hoch gezogen werden	0
2	wenn sie kackbraune scheiße blau übermalen wie der kleine anstreicher chruppala bleibt es kackbraune setzen sechs chrupalla entlarvt die altpartei afd afdrausausdenparlamenten	1
3		2
4	junge was für verfolgung die befeuern aus ihren eigentumswohnungen querdenker und ich sage auf twitter dass ich das doof finde du weißt nichts von verfolgung	0
5	tja leider waren deine eltern nicht ärztin und ingenieur überleg mal woran das wohl liegt sie haben sich für dich krumm gemacht und jetzt kommst du schlaumeier und erzählst was vom mai das ist demütigend für deine eltern	0
6	ja und ja ihre erklärung dazu die mich nicht ganz überzeugt	0
7	querdenker belagern impfzentren verbreiten lügen um menschen vom impfen abzuhalten beleidigen und provozieren wenn man maske trägt komm mir nicht mit anderen leuten ihre rechte absprechen wollen	1
8	monat im jahr der erderhitzung	2
9	punkt	2
10	hetzer gegen wen denn	2
11	dieser hemlut ist einfach nur ein verstrahlter egozentrischer idiot der es einfach genießt mehr rechte als andere zu haben sein gesabbel bringt uns nichts solche spinner erträgt man einfach	0
12	pfizer eine firma die anscheinend die gleiche ethik wie nazi todesengel mengele vertritt hat vor einigen jahren als in nigeria eine mningitis welle ausbrach unter dem vorwand humanitärer hilfe verdeckt testmedikamente an kids ausprobiert kinder tot behindert	1
13	also ich kenn ja solche leute größtenteils noch aus meiner emo phase und die meisten sind halt einfach drogensüchtige assis geworden ohne groß politisch dabei zu sein die aber antifa sticker immer ganz cool fanden die prolligen	2
14	les halt nochmal nach was ursprünglich beabsichtigt war genausogut könnte ich fragen was aktuell überhaupt zuschauer im stadion verloren haben da nimmt man auch vieles billigend in kauf	0
15	baerbockvshabeck wie kann eine partei so dumm sein die unerträglich schrille nervende stimme von der wohltemperierten sympathischen von habeck vorzuziehen die baerbock wird beim wahlvolk so gut ankommen wie kommentatorin claudia neumann bei den männerfußballfans	0
16	für ne sekunde aus versehen mit jemand gesprochen der tweets feiert und sich über blm lustig macht naja	0
17	ot oder von mir aus auch rfh ich wünsche mir ein statement von ihnen zu den aktuellen ereignissen in israel vielen dank	0
18	manchmal ist mir sek googeln und mal eben screenshots machen angenehmer als tippen mag spleenig sein vov und inhaltlich ich bin den scheiß einfach so leid fundierte recherche liefern zu sollen während die gegenseite jeden rotz als argument nutzt ich mag nichmehr	2
19	ich bin jetzt schon gespannt wo sie das ganze geld hernehmen will was sie da so für klima und gutmenschentum verteilt nicht falsch verstehen wenn das geht bin ich der erste der sich über das grüne schlaraffenland für alle freut ist das realistisch	0
20		2
21	auch das kann die union zum beispiel nicht politik auch mal mit humor verbinden eigentlich kann die union gar nichts außer abkassieren oder	1
22	immer wieder schön ahnungslose menschen schwadronieren zu hören	0
23	weg des widerstands uhr infostände von ag antifa barmbeker ini gegen rechts bergedorfer für völkerverständigung linksjugend solid hamburg volksinitiative für hamburg und verdi ak frieden	1
24	grüne schizophrenie sie wollen keine waffen nach israel liefern begründung keine waffenlieferung in krisengebiete gestern wir müssen waffen in die ukraine liefern weil das nun ja	1
25	afd geht mit duo weidel und chrupalla in den bundestagswahlkampf	0
26	kann einer bitte bitte diesen mann endlich stoppen irgendjemand muss es machen	0
27	das greenpeace sich nicht schämt da hatten bestimmt einige zuschauer und spieler angst hattet ihr wohl schon vergessen fussballspiel in paris auch deutschland frankreich kalashnikov handgranaten sprengstoff tatp westen zeitgleich mit dem anschlag bataclan	1
28	die eigenen parteifreund innen sollen überzeugt werden vier erfolg damit ehrlich gemeint die überzeugung gelingt aber leider am besten über angstargumente die wahl zu verlieren für sachargumente ist die cdu leider taub siehe merz bei lanz und merz ist team laschet	1
29	selbst die andere gästen mussten laschet zustimmen denn es geht letztendlich auch darum dass wir alle noch lohn und brot haben dafür hatte frau neubauer nur ein kopfschütteln übrig	0
30	echt jetzt paul statt de de über alles wichtigeres der wert eines menschen sollte an erster stelle stehen nicht das was die daraus gemacht hat lobbyieren lügen betrügen das eigene portemonnaie füllen steht für euch an erster stelle niemehrcducsu	1
31	stell dir vor nazi ist über jahrzehnte ein schimpfwort wie zum beispiel hurensohn und plötzlich gibt es einige die sogar stolz drauf sind so genannt zu werden dann werden es immer mehr und du willst auch ein hurensohn sorry ich meinte nazi sein	0
32	grosse welle wie geht es ihrem auge	0
33	also auch ich als heterosexueller mann fühle mich nicht diskriminiert keine ahnung wie sie auf so was kommen ganz im gegenteil ich finde es toll das manuel neuer für diversität und gleichgeschlechtliche liebe einsteht	0
34	giftspritze disqualifiziert sie schon ohne dass man weiterlesen muß schwurbler leerdenker	0
35	hm ich glaube echt alles was du anderen vorwirftst ist geeignet um vor deiner eigenen tür zu kehren soviel aggression ohne grundlage und ohne sinn ne menge energie die du ins falsche rohr schießt du kannst weiter rumjammern das es querdenker gibt mich stören die nicht	0
36	und dabei ist eine nährstoffreiche vegane ernährung echt kein hexenwerk und sowohl lecker als auch gesund weiß echt nicht wie man das im jahr immer noch nicht gecheckt und seine ernährung umgestellt haben kann	2
37	maaßen ist vor allem eines inkompetent	0
38	unertls csu vogelscheuche und die grüne annalena baerbock	0
39	impfneid als ob wieder so ein völlig schwachsinniger	2
40	übrigens wenn sie teil einer studie werden müssen sie dafür einwilligen	2
41	wenn ich medien und gleichgeschaltet im zusammenhang mit unserem land lese bekomme ich immer das würgen dieses framing dient doch nur der unterdrückung von diskussionen durch rechte das schauspieler so etwas mitmachen ist einfach nur zum	1
42	der westen wird grüner arabischer vielleicht aber doch nicht grüner	1
43	uns geht es sehr gut verglichen mit anderen orten auf der erde die pandemie wird vorbei gehen und alles wird sich wieder normalisieren ich hoffe dass sich dann so mancher querdenker vor seinen kindern und enkeln schämen wird wenn sie über dieses kapitel der geschichte reden	1
44	ich warte weiter auf ihr statement zum und zur entschuldigung bezüglich ihrer lüge zum durchschnittsalter der	0
45	come to rhineland palatinate the land where milk and honey flows and a wisdom queen rules ich schreib das auf englisch weil rlp auf englisch so ulkig klingt	2
